defect_id,title,status,origin,origin_phase,type,severity,detected_phase,detection_method,repository,date_detected,expected_behavior,observed_behavior,root_cause,related_issue,related_pr,related_workflow,related_commit,evidence,resolution,date_resolved,rework_actual_hours,rework_actual_is_estimate,rework_avoided_estimate_hours,escape_distance,ai_correct_spec_wrong,ai_context_update_required,engineering_journal_entry,case_study_candidate,retrospective,notes
DEF-0001,Approved issue could dispatch Codex more than once,resolved,configuration-workflow,implementation,ci-cd-behavior,high,integration-verification,github-actions-ci,Young-Consultations/portfolio-tasks,2026-07-29,One explicit approval action starts one logical authorized execution.,Multiple labeled events could route the same approved issue before queued state was applied.,Routing evaluated the current label snapshot instead of requiring the triggering label to be status:approved.,https://github.com/Young-Consultations/portfolio-tasks/issues/55,,,,Issue #55 documents the remaining duplicate-routing defect and required event-specific guard.,Require the triggering approval label and reject queued/later states; preserve duplicate delivery as a no-op.,2026-07-30,,,,2,false,true,true,true,true,High severity because duplicate dispatch can cause repeated paid AI execution and duplicate mutation attempts.
DEF-0002,Executor lacked first-class idempotent draft-PR reuse,resolved,implementation,implementation,identity-idempotency-mismatch,high,integration-verification,chatgpt-architecture-review,Young-Consultations/portfolio-tasks,2026-08-02,Retries of the same logical delivery reuse the owned draft PR without rerunning Codex or publishing again.,Router protections alone did not prevent replayed canonical inputs from rerunning Codex; existing branch/PR state was not a first-class successful outcome.,Publication ownership and replay reconciliation were incomplete at the executor boundary.,https://github.com/Young-Consultations/portfolio-tasks/issues/74,,,,Issue #74 records the missing preflight and required deterministic PR reuse behavior.,Add deterministic executor preflight and safe reuse/fail-closed handling for existing managed state.,2026-08-03,,,,2,false,true,true,true,true,Defense-in-depth defect distinct from source duplicate routing.
DEF-0003,Non-Slugger portfolio work was mirrored into Slugger,resolved,architecture-design,architecture-design,responsibility-boundary-error,medium,acceptance-review,chatgpt-architecture-review,Young-Consultations/portfolio-tasks,2026-08-02,Portfolio Tasks is the authoritative backlog and direct routing sends work only to the declared target.,"Historical synchronization mirrored general portfolio work into Slugger even when another repository was the target, creating duplicate lifecycle state.",Legacy synchronization treated Slugger as a general mirror rather than a bounded target/product owner.,https://github.com/Young-Consultations/portfolio-tasks/issues/75,,,,Issue #75 explicitly documents duplicate lifecycle state caused by non-Slugger mirroring.,Restrict synchronization to Slugger and registered Slugger-managed outputs; preserve history without duplicate active state.,,,,,4,false,true,true,true,true,
DEF-0004,Shared router and contract consumers used mutable references,resolved,interface-integration,implementation,version-mismatch,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/.github,2026-08-02,Cross-repository contract and router compatibility is bound to an immutable reviewed release.,Target repositories could consume reusable workflows or contracts from mutable branch references such as @main.,The organization lacked one coherent immutable release and consumer pinning policy.,https://github.com/Young-Consultations/portfolio-tasks/issues/76,,,,Issue #76 states mutable references could let unreviewed upstream changes break multiple repositories simultaneously.,Create coherent versioned release/rollback policy and migrate supported consumers to immutable refs.,2026-08-03,,,,3,false,true,true,true,true,High severity due to organization-wide blast radius.
DEF-0005,Slugger reusable workflow inherited broader secrets than required,resolved,configuration-workflow,implementation,secrets-environment,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/slugger,2026-08-02,Reusable workflows receive only explicitly named secrets required by their contract.,At least one supported Slugger reusable workflow call used broad secret inheritance.,Caller secret boundary was broader than the least-privilege workflow contract.,https://github.com/Young-Consultations/portfolio-tasks/issues/77,,,,Issue #77 records broad secret inheritance and the required named-secret contract.,Replace secrets: inherit with explicit named secrets and regression checks.,2026-08-08,,,,3,false,true,true,true,true,High severity because unnecessary credentials were exposed to a called workflow boundary.
DEF-0006,Documented MVP lacked executable shared fixture oracle and canonical result receiver,resolved,implementation,implementation,missing-coverage,high,acceptance-review,chatgpt-architecture-review,Young-Consultations/.github,2026-08-09,The organization-owned v2 baseline provides an authenticated result receiver plus executable TC-MVP-CI-001 inputs and expected outputs.,Those organization-owned dependencies were identified as blockers to the documented next MVP.,Architecture and contract direction had advanced ahead of executable integration assets.,https://github.com/Young-Consultations/portfolio-tasks/issues/113,,,,Issue #113 explicitly identifies the receiver and complete executable fixture/expected-result release as current blockers.,Implement the canonical receiver and complete no-real-effects shared fixture release.,2026-08-11,,,,3,false,true,true,true,true,Classified as verification type because the missing shared oracle prevented conformance proof; receiver implementation was also missing.
DEF-0007,Reusable consulting operating-system assets were owned by Slugger,resolved,architecture-design,architecture-design,responsibility-boundary-error,medium,acceptance-review,chatgpt-architecture-review,Young-Consultations/slugger,2026-08-09,Reusable consulting methods and assets have one authoritative home in consulting-playbook.,"Slugger contained reusable consulting service, intake, assessment, evidence, report, roadmap, proposal, case-study, and knowledge-base assets.",Product-repository and consulting-business responsibilities had become coupled during early experimentation.,https://github.com/Young-Consultations/portfolio-tasks/issues/112,,,,Issue #112 defines the ownership separation and removal of Slugger consulting/** after migration.,Consolidate reusable assets into consulting-playbook and remove duplicate active ownership from Slugger.,2026-08-10,,,,4,false,true,true,true,true,
DEF-0008,PR #39 made actionlint mandatory before runner behavior was proven,resolved,configuration-workflow,implementation,ci-cd-behavior,medium,integration-verification,human-pr-review,Young-Consultations/portfolio-tasks,2026-07-28,New CI validation passes on the supported GitHub runner when repository workflows satisfy intended policy.,Bare actionlint automatically invoked runner ShellCheck and failed the new CI/target validation path; the first fix did not fully stabilize runner-dependent behavior.,The PR enabled a new mandatory validator without reproducing its hosted-runner integration behavior in the authoring environment.,,https://github.com/Young-Consultations/portfolio-tasks/pull/39,,346552b,PR #39 review discussion identified SC2046 and subsequent CI failure; follow-up disabled runner-dependent ShellCheck integration for deterministic actionlint.,Use deterministic actionlint configuration and add regression coverage.,2026-07-28,,,,2,false,false,true,true,true,
DEF-0009,Issue-sync checkout persisted GitHub credentials,resolved,configuration-workflow,implementation,permissions,high,integration-verification,github-actions-ci,Young-Consultations/portfolio-tasks,2026-07-28,All supported checkout steps explicitly disable credential persistence under the repository least-privilege policy.,sync-slugger-issues.yml checkout persisted the workflow token.,Security invariant was not enforced consistently across every workflow checkout step.,,https://github.com/Young-Consultations/portfolio-tasks/pull/39,,948a250,PR #39 follow-up states CI exposed the unsafe checkout and adds repository-wide regression coverage.,Set persist-credentials: false and enforce it across all workflows.,2026-07-28,,,,2,false,false,true,true,true,High severity because a workflow credential remained available to later git commands beyond the intended checkout boundary.
DEF-0010,PR #39 enabled Ruff CI while existing code violated the enforced rules,resolved,verification,implementation,false-positive-negative,medium,integration-verification,github-actions-ci,Young-Consultations/portfolio-tasks,2026-07-28,A newly required CI gate is validated against the repository and passes before merge.,"Ruff failed on UP035 and TRY004 in portfolio_tasks/execution.py, causing every PR/push CI run to fail until code was corrected.",The change asserted local/static validation success without reproducing the exact newly enforced CI rule set against the final branch state.,,https://github.com/Young-Consultations/portfolio-tasks/pull/39,,,PR #39 CI log and Codex review show Ruff exiting 1 on two violations.,Correct the import and exception type and rerun repository checks.,2026-07-28,,,,2,false,false,true,true,true,
